Bal,Low Vre,Solar,Wind
45.79,34.8038984,46.67934247,42.82414155
40.86,32.7438984,43.48934247,37.22414155
33.55,30.0138984,39.46934247,22.08414155
21,23.7238984,32.76934247,18.77414155
19.91,21.6038984,31.46934247,17.34414155
24.53,22.2338984,28.76934247,17.82414155
25.08,21.3538984,26.37934247,16.38414155
19.09,20.4738984,28.18934247,16.31414155
18.48,19.5838984,27.01934247,14.89414155
19.56,20.4738984,26.72934247,16.86414155
22.94,22.2738984,32.12934247,20.58414155
35.41,28.2938984,37.09934247,23.54414155
38.17,32.1338984,38.88934247,25.05414155
25.72,33.2238984,34.24934247,22.76414155
22.74,32.6138984,19.51934247,21.98414155
24.79,33.1738984,32.34934247,21.70414155
34.4,33.6738984,37.65934247,23.12414155
27.08,32.7538984,37.29934247,23.29414155
36.44,32.4238984,38.10934247,23.05414155
36.1,32.6638984,38.30934247,22.87414155
22.6,32.6238984,35.76934247,21.53414155
24.27,33.7638984,38.18934247,23.41414155
27.22,35.7638984,41.80934247,25.53414155
29.75,38.8838984,42.06934247,26.34414155
40.22,38.8038984,41.16934247,25.89414155
39.34,37.0138984,40.18934247,25.66414155
25.79,33.1538984,38.25934247,23.37414155
23.89,24.9638984,34.04934247,20.59414155
18.32,23.0038984,30.21934247,17.90414155
17.46,21.3738984,20.73934247,18.16414155
18.24,20.7238984,20.81934247,17.16414155
18.75,20.4738984,21.45934247,17.55414155
18.58,20.4738984,20.90934247,18.22414155
19,20.9638984,29.71934247,18.68414155
21.25,23.1838984,32.08934247,20.09414155
44.04,31.4638984,43.93934247,43.06414155
46.31,38.7238984,48.23934247,44.83414155
44.18,38.8038984,42.91934247,44.53414155
41.52,38.5438984,39.07934247,43.66414155
42.45,38.3238984,37.49934247,43.24414155
41.29,37.0138984,35.90934247,43.49414155
40.61,36.6838984,37.04934247,44.13414155
42.85,35.9438984,39.57934247,44.93414155
43.23,35.8738984,41.16934247,44.32414155
43.83,35.5438984,42.04934247,43.98414155
46.07,35.9138984,46.83934247,44.83414155
54.41,40.6438984,54.50934247,50.77414155
55.53,41.9238984,58.08934247,54.18414155
50.82,40.9138984,52.86934247,48.26414155
50.67,39.7038984,52.07934247,45.38414155
46.05,37.1238984,49.71934247,43.87414155
37.98,29.8838984,41.25934247,36.67414155
35.02,24.5238984,36.92934247,33.08414155
34.51,23.0538984,35.09934247,30.43414155
30.66,22.2838984,34.23934247,27.19414155
28.68,21.5138984,32.82934247,17.28414155
33.32,21.0938984,33.84934247,31.87414155
34.29,22.2838984,33.94934247,33.39414155
34.46,22.6038984,34.65934247,34.18414155
36.95,24.7938984,37.57934247,36.28414155
39.57,30.4738984,41.46934247,39.10414155
38.46,34.2038984,39.53934247,38.24414155
37.18,34.8238984,38.12934247,37.40414155
36.55,34.1838984,37.87934247,37.26414155
36.57,34.0338984,36.37934247,35.80414155
35.57,30.8138984,35.17934247,31.79414155
35.29,28.6838984,34.74934247,34.45414155
31.15,27.2538984,33.92934247,20.50414155
33.67,26.8138984,34.07934247,21.66414155
24.73,28.2238984,34.61934247,21.49414155
34.77,34.2438984,38.89934247,22.78414155
40.53,36.8238984,44.60934247,28.34414155
40.19,37.5338984,43.68934247,37.97414155
38.95,35.5738984,41.53934247,34.34414155
37.12,32.8838984,39.48934247,22.40414155
35.37,25.8838984,36.26934247,31.52414155
33.52,23.1438984,34.31934247,21.79414155
34.37,22.6038984,35.10934247,18.04414155
33.99,21.5138984,34.19934247,28.50414155
32.94,22.2338984,33.69934247,28.47414155
31.32,21.5138984,31.49934247,25.26414155
32.16,21.0238984,31.76934247,29.84414155
32.47,22.0938984,31.97934247,31.67414155
34.03,22.1738984,34.51934247,33.46414155
35.89,23.5738984,36.14934247,34.89414155
30.45,25.6338984,29.26934247,30.52414155
29.13,29.2238984,27.12934247,30.02414155
