Low,Bal,Wind,Solar
40.93389384,45.12,39.29861301,52.666879
43.63389384,47.17,42.89861301,52.826879
45.03389384,50.37,49.02861301,54.596879
49.19389384,53.17,52.38861301,61.726879
51.59389384,51.35,53.35861301,54.536879
49.19389384,47.26,47.96861301,42.876879
44.46389384,37.18,38.52861301,31.916879
44.08389384,30.98,32.27861301,18.686879
40.77389384,30.98,32.27861301,9.586878995
40.77389384,29.84,29.64861301,9.316878995
43.73389384,31.01,30.40861301,14.016879
43.94389384,36.94,39.65861301,31.926879
44.54389384,41.24,41.69861301,39.776879
50.53389384,50.37,49.30861301,51.996879
51.91389384,52.95,53.64861301,55.726879
53.52389384,51.94,45.29861301,56.766879
51.20389384,50.33,45.14861301,57.856879
50.09389384,55.17,45.32861301,57.936879
49.19389384,53.12,49.56861301,58.796879
48.76389384,51.25,44.60861301,54.826879
43.21389384,47.73,43.67861301,53.376879
42.86389384,44.33,40.42861301,52.256879
44.54389384,44.3,42.60861301,53.496879
43.21389384,46.67,46.40861301,53.496879
42.56389384,45.6,44.58861301,53.466879
43.73389384,49.06,46.94861301,53.556879
48.67389384,52.26,49.53861301,54.096879
48.91389384,53.19,50.43861301,54.626879
49.19389384,55.18,56.84861301,56.426879
49.19389384,54.11,52.55861301,54.496879
49.04389384,50.95,53.51861301,43.486879
49.19389384,50.68,49.00861301,36.086879
49.04389384,40.52,41.67861301,18.886879
48.04389384,37.56,41.13861301,20.446879
46.95389384,41.52,46.62861301,35.496879
47.86389384,47.61,50.91861301,43.776879
48.77389384,52.95,50.25861301,53.826879
49.91389384,54.82,51.44861301,58.836879
51.43389384,55.52,53.49861301,57.566879
52.20389384,56.5,57.01861301,60.206879
50.16389384,59.36,59.71861301,60.206879
50.08389384,59.89,60.68861301,60.266879
49.19389384,59.36,59.71861301,59.586879
44.74389384,55.18,58.38861301,55.816879
44.24389384,54.49,57.06861301,54.626879
46.32389384,53.94,57.06861301,54.606879
49.54389384,56.72,58.01861301,58.526879
49.19389384,55.41,56.55861301,57.406879
47.38389384,53.72,55.05861301,54.626879
47.42389384,53.1,54.21861301,54.196879
49.10389384,53.12,54.41861301,54.466879
50.28389384,55.4,55.23861301,59.996879
51.40389384,55.45,53.35861301,58.736879
48.82389384,48.98,45.98861301,53.766879
47.07389384,44.69,45.88861301,34.496879
46.40389384,39.2,41.19861301,10.496879
46.27389384,35.49,41.19861301,7.166878995
46.39389384,36.37,46.20861301,6.266878995
46.66389384,37.78,47.34861301,13.176879
47.93389384,46.9,50.41861301,40.256879
50.70389384,54.32,55.44861301,54.366879
52.20389384,62.4,63.71861301,63.136879
50.16389384,62.7,63.47861301,63.086879
51.96389384,63.69,65.94861301,63.986879
52.31389384,63.68,65.98861301,63.806879
50.09389384,62.72,64.98861301,63.086879
47.46389384,62.18,64.45861301,62.716879
43.94389384,57.62,61.20861301,57.906879
39.37389384,53.1,57.79861301,54.716879
42.57389384,50.37,52.38861301,54.846879
40.01389384,51.91,51.43861301,52.056879
38.26389384,47.3,47.96861301,49.556879
38.18389384,46.36,43.58861301,48.886879
39.06389384,46.67,41.91861301,49.106879
41.66389384,51.09,49.03861301,51.216879
50.62389384,55.85,56.11861301,57.526879
52.37389384,53.12,55.99861301,57.186879
49.81389384,49.89,54.48861301,52.716879
49.98389384,46.67,53.35861301,45.826879
50.67389384,45.34,54.17861301,43.086879
49.19389384,41.97,53.19861301,34.346879
47.86389384,39.81,53.19861301,31.416879
47.38389384,41.77,54.12861301,32.026879
48.01389384,46.48,56.74861301,38.246879
49.51389384,51.01,60.65861301,52.166879
51.10389384,58.12,59.62861301,59.916879
56.96389384,61.46,63.01861301,60.936879
58.20389384,62.18,63.71861301,61.756879
56.96389384,62.18,63.47861301,61.336879
55.42389384,61.34,63.19861301,61.356879
49.81389384,62.18,62.14861301,60.576879
43.58389384,59.36,56.46861301,56.086879
41.15389384,53.12,51.67861301,51.896879
43.51389384,53.67,54.85861301,54.616879
